hours_study,attendance_rate,gpa_prev,extra_activities,sleep_hours,social_media_hours,gender,city,passed
14.4,74.8,2.74,3,7.2,0.8,Male,Alexandria,0
19.3,84.8,2.76,5,5.9,2.5,Female,Alexandria,1
22.8,82.4,2.91,4,9.5,1.8,Male,Cairo,1
24.5,61.7,3.04,2,5.8,5.0,Female,Cairo,1
,91.0,2.49,0,5.9,,Female,Cairo,1
21.8,90.4,2.36,4,7.3,0.0,Female,Alexandria,1
18.3,80.6,3.25,0,4.6,2.1,Male,Alexandria,1
20.7,71.6,1.78,5,6.0,2.5,Female,Giza,0
19.2,99.8,2.43,1,5.1,2.7,Male,Giza,1
13.2,87.7,3.73,1,5.8,3.6,Male,Alexandria,1
19.9,95.2,1.18,3,6.8,5.6,Male,Cairo,1
25.3,99.1,2.38,5,7.3,2.0,Male,Cairo,1
14.2,79.8,3.21,4,8.3,1.7,Female,Alexandria,1
,93.1,1.81,0,7.9,,Male,Cairo,1
24.0,82.6,4.0,1,8.4,2.9,Male,Alexandria,1
13.6,84.4,1.25,3,7.6,18.6,Female,Alexandria,0
21.1,84.1,3.66,1,6.4,2.1,Male,Cairo,1
13.6,85.0,3.73,1,8.3,4.3,Male,Giza,1
26.8,96.1,3.35,2,6.4,2.5,Female,Cairo,1
33.9,86.2,,1,6.2,4.8,Female,Cairo,1
32.1,83.5,3.01,3,8.8,3.0,Female,Giza,1
18.7,82.2,2.26,0,7.9,0.9,Female,Alexandria,1
24.4,88.4,3.29,1,7.2,1.5,Female,Giza,1
20.7,76.1,2.13,5,7.8,0.2,Male,Giza,1
,80.0,2.64,4,8.0,0.0,Female,Cairo,1
29.3,84.5,3.4,0,5.3,2.9,Female,Alexandria,1
75.4,79.3,2.13,1,6.8,3.8,Female,Cairo,1
26.3,83.8,2.58,5,5.5,5.4,Male,Cairo,1
19.7,78.9,2.9,5,7.1,2.4,Male,Cairo,1
28.5,100.0,1.99,0,6.1,2.1,Female,Cairo,1
21.1,98.3,3.5,5,8.6,0.8,Male,Alexandria,1
16.0,89.5,3.0,1,7.6,4.0,Female,Alexandria,1
21.7,84.5,1.89,0,6.0,3.1,Male,Giza,1
24.4,100.0,2.77,1,6.9,1.6,Female,Cairo,1
20.2,88.2,2.33,3,5.5,3.5,Female,Alexandria,1
22.9,84.1,2.41,5,7.0,3.3,Female,Cairo,1
16.9,88.0,2.85,5,7.6,0.0,Male,Cairo,1
7.2,88.1,2.37,0,7.2,3.6,Female,Alexandria,1
25.4,99.1,3.38,2,4.6,2.7,Male,Cairo,1
24.2,84.8,2.38,5,6.5,1.9,Female,Giza,1
20.9,100.0,3.39,5,7.5,1.9,Female,Cairo,1
20.4,76.2,2.77,1,7.3,5.1,Male,Cairo,1
,91.9,3.31,1,8.3,4.8,Female,Giza,1
17.3,75.0,2.48,5,5.4,5.2,Male,Giza,0
15.8,100.0,,2,7.6,0.8,Female,Cairo,1
18.9,81.7,2.11,4,6.2,1.5,Female,Cairo,1
27.1,84.4,3.15,2,7.2,3.9,Female,Alexandria,1
11.7,94.2,3.36,1,7.4,0.7,Female,Cairo,1
27.2,97.6,4.0,5,7.8,1.4,Male,Cairo,1
,73.9,3.57,3,6.2,0.0,Female,Alexandria,1
13.4,81.5,,3,7.2,5.3,Female,Alexandria,1
27.6,71.1,2.67,0,5.5,4.1,Male,Cairo,1
19.4,86.4,3.03,1,5.2,3.2,Female,Cairo,1
12.2,84.0,2.78,2,7.6,2.8,Female,Cairo,1
17.8,81.5,3.68,3,6.9,1.9,Female,Alexandria,1
25.6,78.2,3.37,0,5.0,1.9,Female,Cairo,1
27.2,81.1,2.3,1,5.9,3.4,Male,Giza,1
17.4,77.5,2.39,4,7.0,,Female,Cairo,1
22.4,90.3,3.62,3,8.8,4.3,Female,Alexandria,1
24.3,100.0,2.98,3,8.2,1.8,Male,Alexandria,1
16.1,65.7,2.66,5,7.9,1.2,Female,Giza,1
22.1,83.8,3.51,1,4.8,4.4,Male,Alexandria,1
19.8,80.8,2.57,0,6.8,2.3,Male,Giza,1
16.8,89.9,2.63,0,7.5,3.3,Male,Alexandria,1
17.0,75.5,2.52,5,7.4,1.9,Female,Cairo,1
20.4,83.5,1.62,5,7.4,0.0,Female,Cairo,1
20.2,74.6,3.32,3,6.7,3.3,Female,Alexandria,1
16.6,92.0,2.07,0,9.0,0.5,Male,Alexandria,1
17.4,86.0,2.46,0,8.7,4.1,Female,Alexandria,1
26.7,83.4,2.35,1,6.8,0.2,Female,Alexandria,1
21.3,88.7,3.24,0,5.8,0.0,Male,Cairo,1
25.3,,2.76,0,9.4,3.0,Female,Alexandria,1
27.2,69.5,2.81,1,6.3,3.1,Female,Alexandria,1
23.5,91.0,1.79,2,8.4,2.7,Male,Cairo,1
33.6,87.9,2.75,4,9.2,0.7,Male,Cairo,1
15.0,83.5,1.91,2,5.8,3.8,Female,Alexandria,0
24.9,94.8,2.98,4,7.3,0.3,Female,Alexandria,1
18.1,97.2,3.02,3,6.5,1.8,Male,Cairo,1
31.1,74.1,2.79,5,7.5,1.3,Female,Alexandria,1
30.2,77.2,4.0,1,7.3,1.9,Male,Alexandria,1
8.3,,3.12,5,9.3,3.8,Female,Cairo,1
14.2,99.2,3.16,1,7.6,1.5,Male,Cairo,1
24.0,77.6,2.89,0,6.9,3.3,Female,Alexandria,1
24.7,73.2,2.68,4,8.3,3.5,Female,Giza,1
24.4,78.6,3.38,3,6.6,0.0,Female,Alexandria,1
19.6,80.0,3.46,1,6.5,0.8,Female,Cairo,1
22.7,69.2,2.02,0,9.6,1.9,Male,Alexandria,1
23.9,85.3,3.43,1,5.9,1.6,Male,Alexandria,1
19.5,72.2,,3,6.3,3.0,Male,Giza,1
26.2,72.9,3.38,2,7.0,0.0,Male,Cairo,1
6.4,94.2,3.08,0,5.7,3.6,Male,Alexandria,1
23.8,78.2,2.05,1,4.4,3.6,Male,Alexandria,1
13.8,84.3,2.1,3,8.2,2.2,Female,Giza,1
25.8,91.3,3.89,4,6.0,0.4,Female,Alexandria,1
18.6,93.1,2.95,3,6.3,2.5,Female,Cairo,1
14.7,81.6,1.95,0,6.5,1.7,Female,Alexandria,1
22.2,85.4,3.01,0,5.8,3.3,Female,Alexandria,1
14.5,76.7,,1,5.6,2.4,Female,Cairo,1
14.5,100.0,1.69,4,7.1,3.6,Male,Cairo,1
10.6,91.5,1.43,2,9.8,1.9,Female,Cairo,1
19.8,74.0,1.84,0,7.8,,Female,Alexandria,1
23.0,85.0,2.96,1,7.8,0.0,Male,Alexandria,1
26.1,92.1,2.77,3,5.1,1.0,Female,Cairo,1
19.1,89.8,2.65,5,6.9,,Female,Cairo,1
,100.0,2.97,1,5.5,0.2,Female,Alexandria,1
20.1,98.7,3.16,2,7.9,3.6,Female,Alexandria,1
19.4,79.6,1.54,1,6.7,0.7,Female,Alexandria,1
23.4,84.1,2.62,2,7.0,,Male,Cairo,1
26.4,72.2,2.3,2,6.8,1.1,Female,Cairo,1
18.0,87.5,2.06,2,6.2,1.8,Female,Alexandria,0
18.5,86.5,2.47,0,5.1,2.8,Male,Cairo,1
19.0,100.0,2.73,4,7.6,2.3,Female,Cairo,1
20.5,86.0,2.64,3,5.3,1.9,Female,Cairo,1
14.6,64.1,1.93,1,5.5,5.7,Female,Alexandria,0
26.2,78.3,2.51,2,6.6,2.5,Female,Cairo,1
17.6,86.1,4.0,4,6.1,1.0,Female,Giza,1
22.8,72.4,2.17,4,7.2,3.9,Male,Cairo,0
15.0,76.3,1.79,5,8.1,3.7,Male,Cairo,1
15.5,86.5,2.69,1,6.4,1.7,Male,Giza,1
19.3,75.7,2.48,1,6.6,5.0,Male,Cairo,1
16.8,76.7,2.45,2,4.4,4.4,Male,Alexandria,1
25.5,,,4,8.4,1.4,Male,Cairo,1
23.6,97.1,2.15,2,6.7,3.8,Male,Alexandria,1
19.2,80.5,2.26,5,6.9,4.3,Male,Giza,1
25.4,77.5,2.97,5,5.7,0.7,Female,Cairo,1
19.6,92.7,1.52,2,5.8,0.1,Female,Giza,1
16.4,87.3,2.81,1,7.3,2.1,Female,Alexandria,1
19.6,84.6,3.19,0,6.5,5.2,Male,Giza,1
19.0,96.2,1.93,5,4.9,0.8,Female,Alexandria,1
18.0,83.9,,1,6.6,2.0,Female,Alexandria,1
18.8,82.9,2.29,0,6.0,2.0,Male,Cairo,1
23.8,78.2,2.05,1,4.4,3.6,Male,Alexandria,1
27.2,81.1,2.3,1,5.9,3.4,Male,Giza,1
13.6,85.0,3.73,1,8.3,4.3,Male,Giza,1
20.5,79.0,2.62,1,8.3,3.9,Female,Cairo,1
19.3,84.8,2.76,5,5.9,2.5,Female,Alexandria,1
23.2,93.0,2.74,5,5.0,0.0,Male,Alexandria,1
25.3,87.2,2.72,0,6.6,3.0,Male,Giza,1
